Best results of k-NN obtained by:,k = 4, similarity metric: Cosine Similarity
Metric,Class 1,Class 2,Class 3,MACRO Average,MICRO Average
Precision,0.38996591894716015,0.632681670773647,0.4764534697592914,0.49970035316003286,0.49833333333333335
Recall,0.6234912280701754,0.5416182170542636,0.34115131578947366,0.5020869203046375,0.49833333333333335
F1-Score,0.4793576230983893,0.5826913926346649,0.3957994825319436,0.48594949942166593,0.49833333333333335
Total no. of True Positive records,47.2,69.7,32.6,-,-
Total no. of False Positive records,73.8,40.9,35.8,-,-
Total no. of False Negative records,28.5,59.0,63.0,-,-
